통계명 : 기대수명 1),,,,,,,,,,,
출    처 : 통계청,,,,,,,,,,,
대륙,국가별,성별,2010,2015,2020,2025,2030,2035,2040,2045,2050
세계,소계,합계,67.9,69.3,70.4,71.4,72.4,73.3,74.1,74.9,75.6
세계,소계,남자,65.7,67.1,68.2,69.2,70.1,71.0,71.8,72.5,73.2
세계,소계,여자,70.1,71.6,72.8,73.8,74.8,75.7,76.5,77.3,78.0
아시아,한국,합계,80.0,80.7,81.3,81.8,82.4,82.9,83.5,84.0,84.5
아시아,한국,남자,76.5,77.3,77.9,78.5,79.1,79.7,80.3,80.8,81.4
아시아,한국,여자,83.3,84.0,84.5,85.1,85.7,86.2,86.7,87.3,87.8
아시아,바레인,합계,74.6,75.3,75.8,76.5,77.2,77.8,78.5,79.1,79.6
아시아,바레인,남자,74.0,74.7,75.3,75.9,76.5,77.2,77.7,78.3,78.9
아시아,바레인,여자,75.4,76.1,76.7,77.4,78.3,79.0,79.8,80.5,81.1
아시아,방글라데시,합계,67.8,69.4,70.9,72.2,73.4,74.4,75.3,76.2,77.0
아시아,방글라데시,남자,67.4,68.5,69.8,70.9,72.0,72.9,73.7,74.5,75.2
아시아,방글라데시,여자,68.3,70.2,72.0,73.5,74.8,76.0,77.0,77.9,78.7
아시아,브루나이,합계,77.5,78.2,78.8,79.4,79.9,80.3,80.8,81.2,81.7
아시아,브루나이,남자,75.3,76.0,76.6,77.2,77.8,78.2,78.7,79.1,79.5
아시아,브루나이,여자,80.0,80.6,81.3,81.8,82.3,82.8,83.2,83.6,84.0
아시아,중국,합계,72.7,73.8,74.7,75.6,76.4,77.2,77.9,78.5,79.1
아시아,중국,남자,71.1,72.1,73.0,73.8,74.6,75.3,76.0,76.6,77.3
아시아,중국,여자,74.5,75.6,76.7,77.6,78.4,79.2,79.9,80.6,81.2
아시아,홍콩,합계,81.6,83.2,83.8,84.4,85.0,85.5,86.1,86.7,87.2
아시아,홍콩,남자,79.0,80.2,80.8,81.3,81.9,82.4,82.9,83.4,83.9
아시아,홍콩,여자,84.3,86.4,86.9,87.4,88.0,88.5,89.0,89.5,90.0
아시아,인도,합계,64.2,66.0,67.4,68.7,69.9,71.0,72.0,72.9,73.7
아시아,인도,남자,62.8,64.4,65.8,67.0,68.2,69.2,70.1,71.0,71.8
아시아,인도,여자,65.7,67.6,69.2,70.6,71.8,73.0,74.0,74.9,75.7
아시아,인도네시아,합계,67.9,70.0,71.7,73.2,74.3,75.2,76.0,76.8,77.6
아시아,인도네시아,남자,66.3,68.3,69.8,71.2,72.2,73.1,73.9,74.7,75.4
아시아,인도네시아,여자,69.4,71.8,73.6,75.1,76.3,77.3,78.2,79.0,79.7
아시아,이란,합계,72.1,73.3,74.3,75.3,76.1,76.9,77.6,78.3,78.9
아시아,이란,남자,70.3,71.5,72.5,73.3,74.2,74.9,75.6,76.3,76.9
아시아,이란,여자,73.9,75.3,76.4,77.3,78.2,79.0,79.7,80.4,81.1
아시아,이라크,합계,67.3,70.2,71.0,72.0,73.2,74.3,75.2,76.0,76.8
아시아,이라크,남자,63.4,67.6,68.4,69.4,70.6,71.7,72.6,73.5,74.3
아시아,이라크,여자,71.7,72.6,73.4,74.4,75.6,76.7,77.6,78.5,79.2
아시아,이스라엘,합계,80.7,82.0,83.0,83.7,84.3,84.8,85.3,85.8,86.3
아시아,이스라엘,남자,78.4,79.6,80.5,81.1,81.7,82.2,82.7,83.2,83.8
아시아,이스라엘,여자,82.9,84.2,85.4,86.2,86.7,87.3,87.8,88.3,88.8
아시아,일본,합계,82.7,83.7,84.4,84.9,85.4,85.9,86.4,86.9,87.4
아시아,일본,남자,79.3,80.1,80.8,81.4,81.9,82.4,82.9,83.4,84.0
아시아,일본,여자,86.1,87.1,87.9,88.4,88.9,89.4,89.9,90.4,90.9
아시아,요르단,합계,72.9,73.6,74.2,74.8,75.5,76.3,77.1,77.8,78.4
아시아,요르단,남자,71.7,72.2,72.7,73.3,73.9,74.7,75.4,76.1,76.7
아시아,요르단,여자,74.3,75.2,75.8,76.4,77.2,78.1,78.9,79.6,80.3
아시아,북한,합계,68.4,69.1,70.0,70.9,71.8,72.9,73.8,74.7,75.5
아시아,북한,남자,64.8,65.9,66.8,67.6,68.5,69.5,70.4,71.2,72.0
아시아,북한,여자,71.8,72.1,73.2,74.2,75.3,76.4,77.3,78.2,79.0
아시아,쿠웨이트,합계,74.2,74.8,75.3,75.8,76.4,77.1,77.8,78.4,79.0
